URL;Dir.avk.;P/E;P/S
https://www.avanza.se/aktier/om-aktien.html/5249/nordea-bank;8.5;9.03;3.12
https://www.avanza.se/aktier/om-aktien.html/5479/telia-company;7.84;19.2;2.04
https://www.avanza.se/aktier/om-aktien.html/5255/seb-a;7.22;16.62;3.75
https://www.avanza.se/aktier/om-aktien.html/5256/seb-c;7.22;16.62;3.75
https://www.avanza.se/aktier/om-aktien.html/5266/swedish-match;6.84;15.83;3.76
https://www.avanza.se/aktier/om-aktien.html/5482/betsson-b;6.76;11.42;2.48
https://www.avanza.se/aktier/om-aktien.html/5241/swedbank-a;6.09;12.39;5.22
https://www.avanza.se/aktier/om-aktien.html/5264/handelsbanken-a;5.98;11.62;4.69
https://www.avanza.se/aktier/om-aktien.html/5265/handelsbanken-b;5.98;11.62;4.69
https://www.avanza.se/aktier/om-aktien.html/5239/ericsson-a;5.77;14.72;0.85
https://www.avanza.se/aktier/om-aktien.html/5240/ericsson-b;5.77;14.72;0.85
https://www.avanza.se/aktier/om-aktien.html/5455/tieto-oyj;5.58;17.41;1.23
https://www.avanza.se/aktier/om-aktien.html/5421/stora-enso-a;4.64;7.04;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5422/stora-enso-r;4.64;7.04;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5257/skanska-b;4.35;15.75;0.47
https://www.avanza.se/aktier/om-aktien.html/5258/skf-a;4.07;16.0;0.83
https://www.avanza.se/aktier/om-aktien.html/5259/skf-b;4.07;16.0;0.83
https://www.avanza.se/aktier/om-aktien.html/5501/jm;3.96;13.62;1.08
https://www.avanza.se/aktier/om-aktien.html/5594/klovern-a;3.73;4.32;3.11
https://www.avanza.se/aktier/om-aktien.html/523632/klovern-b;3.73;4.32;3.11
https://www.avanza.se/aktier/om-aktien.html/334718/klovern-pref;3.73;4.32;3.11
https://www.avanza.se/aktier/om-aktien.html/5268/volvo-a;3.65;11.45;0.54
https://www.avanza.se/aktier/om-aktien.html/5269/volvo-b;3.65;11.45;0.54
https://www.avanza.se/aktier/om-aktien.html/5353/castellum;3.61;7.41;6.65
https://www.avanza.se/aktier/om-aktien.html/31607/ica-gruppen;3.6;11.01;0.55
https://www.avanza.se/aktier/om-aktien.html/5556/billerudkorsnas;3.51;14.0;1.14
https://www.avanza.se/aktier/om-aktien.html/5586/nobia;3.41;14.51;0.92
https://www.avanza.se/aktier/om-aktien.html/154930/loomis-b;3.37;14.19;0.96
https://www.avanza.se/aktier/om-aktien.html/5580/alfa-laval;3.28;14.13;1.4
https://www.avanza.se/aktier/om-aktien.html/5583/intrum-justitia;3.11;15.6;3.39
https://www.avanza.se/aktier/om-aktien.html/18813/wihlborgs-fastigheter;3.05;6.12;6.73