Program,Indent,UI,Lang,OS,Browser,DE
D,Spaces,Terminal,C,BSD,Firefox,Emacs
C,Spaces,Terminal,Javascript,Windows 7,Chrome,Notepad++
D,Spaces,GUI,Java,macOS,Safari,Gedit
I,Tabs,Terminal,PHP,Windows 10,Edge,Notepad++
C,Spaces,GUI,Java,Windows 8,Firefox,Eclipse
D,Spaces,Terminal,Java,Windows 8,Edge,Eclipse
F,Spaces,Terminal,C,Linux,Chrome,Emacs
D,Spaces,GUI,C,Linux,Firefox,Vim
Nano,Tabs,Terminal,Javascript,macOS,Safari,Vim
C,Tabs,Terminal,C#,Windows 10,Edge,Visual Studio
D,Tabs,GUI,Javascript,macOS,Chrome,Emacs
D,Spaces,GUI,Python,Windows 7,Chrome,Notepad++
E,Spaces,Terminal,Java,Linux,Chromium,Eclipse
I,Tabs,Terminal,Python,Windows 10,Chrome,Notepad++
K,Tabs,GUI,C#,Windows 7,Firefox,Visual Studio
F,Spaces,Terminal,C,Linux,Firefox,Vim
D,Tabs,GUI,C,Linux,Chrome,Gedit